iter	RMSE
0	216.7178156
1	208.7807698
2	201.5151098
3	194.9408454
4	188.9302279
5	183.5979108
6	178.6766516
7	174.1625462
8	170.0017101
9	166.2162582
10	162.7479894
11	159.7389702
12	156.8686768
13	154.247561
14	152.0611556
15	149.9132731
16	148.0209206
17	146.370147
18	144.7688124
19	143.2690626
20	142.0110434
21	140.8563225
22	139.8014508
23	138.7992506
24	137.8485308
25	137.0766985
26	136.2634235
27	135.5643692
28	134.8840748
29	134.3162904
30	133.8319785
31	133.363302
32	132.8446109
33	132.392191
34	131.9949267
35	131.6115106
36	131.2575114
37	130.9468339
38	130.6584763
39	130.2485924
40	129.9768662
41	129.722827
42	129.4608614
43	129.2390706
44	129.0206195
45	128.8122304
46	128.6618118
47	128.3840853
48	128.224823
49	128.0763259
50	127.9457299
51	127.8041567
52	127.6888221
53	127.5550064
54	127.3812684
55	127.2265992
56	127.0870162
57	126.9529
58	126.8362653
59	126.7278884
60	126.6193334
61	126.5585969
62	126.4677889
63	126.3586302
64	126.2565443
65	126.1380226
66	126.0410394
67	125.9952704
68	125.8667404
69	125.7842945
70	125.6596467
71	125.5810224
72	125.4541234
73	125.3569009
74	125.2580304
75	125.1754806
76	125.0769762
77	125.0272832
78	124.9604499
79	124.9150985
80	124.7921488
81	124.6852115
82	124.5705549
83	124.4456043
84	124.3625088
85	124.3236455
86	124.2795825
87	124.2204912
88	124.1567433
89	124.1147793
90	124.0338718
91	123.9869783
92	123.9177671
93	123.8179735
94	123.7939546
95	123.7393487
96	123.6594142
97	123.5567659
98	123.5099736
99	123.4158661
100	123.3303367
101	123.2213214
102	123.151484
103	123.093674
104	123.0654999
105	123.0183653
106	122.9119807
107	122.8586632
108	122.8343457
109	122.8127832
110	122.7295599
111	122.6925133
112	122.6465607
113	122.5888407
114	122.502545
115	122.4771079
116	122.4201612
117	122.3637512
118	122.2957148
119	122.2466747
120	122.1665044
121	122.1297681
122	122.0359328
123	121.9704351
124	121.9415262
125	121.8843466
126	121.8454874
127	121.7859175
128	121.7229141
129	121.6536429
130	121.5837776
131	121.5286494
132	121.471871
133	121.4112419
134	121.3706867
135	121.3338193
136	121.2853113
137	121.2635146
138	121.2013158
139	121.132068
140	121.1052863
141	121.0714864
142	120.9889621
143	120.9286049
144	120.8860602
145	120.8604002
146	120.8034518
147	120.7381099
148	120.6703682
149	120.6083804
150	120.5318308
151	120.4729772
152	120.3817821
153	120.3019805
154	120.2552227
155	120.2110031
156	120.1389001
157	120.0754784
158	120.0439089
159	120.0047522
160	119.9397582
161	119.9185313
162	119.8628671
163	119.8113799
164	119.7142852
165	119.6188762
166	119.5589514
167	119.4985196
168	119.4753876
169	119.4144113
