iter	Passed	Remaining
0	10	10937
1	21	10495
2	31	10481
3	42	10519
4	52	10438
5	63	10439
6	73	10408
7	84	10427
8	94	10378
9	107	10621
10	117	10541
11	126	10401
12	135	10251
13	144	10167
14	154	10130
15	163	10039
16	172	9987
17	181	9899
18	190	9843
19	201	9890
20	212	9921
21	225	10006
22	236	10042
23	246	10042
24	257	10040
25	267	10039
26	279	10059
27	292	10150
28	302	10130
29	312	10106
30	322	10093
31	333	10095
32	344	10095
33	357	10167
34	374	10336
35	388	10397
36	397	10356
37	408	10350
38	426	10520
39	437	10511
40	447	10462
41	457	10446
42	470	10473
43	482	10481
44	493	10475
45	504	10457
46	515	10455
47	526	10444
48	538	10443
49	549	10439
50	559	10417
51	574	10467
52	588	10508
53	599	10497
54	609	10476
55	619	10442
56	630	10427
57	640	10404
58	650	10381
59	659	10324
60	667	10270
61	675	10218
62	683	10159
63	690	10101
64	698	10051
65	707	10006
66	715	9956
67	722	9908
68	731	9869
69	739	9823
70	747	9780
71	755	9733
72	763	9691
73	771	9651
74	778	9607
75	786	9567
76	796	9550
77	807	9541
78	817	9533
79	827	9520
80	838	9510
81	848	9498
82	858	9489
83	869	9478
84	879	9464
85	889	9457
86	900	9454
87	911	9444
88	921	9429
89	931	9421
90	942	9411
91	952	9399
92	960	9370
93	969	9339
94	976	9304
95	984	9275
96	992	9239
97	1001	9214
98	1008	9181
99	1017	9161
100	1026	9140
101	1034	9107
102	1042	9076
103	1050	9050
104	1057	9017
105	1066	8991
106	1073	8963
107	1081	8935
108	1089	8907
109	1097	8879
110	1105	8850
111	1113	8831
112	1124	8826
113	1135	8821
114	1145	8815
115	1155	8802
116	1166	8800
117	1176	8791
118	1186	8784
119	1196	8775
120	1207	8768
121	1216	8758
122	1227	8750
123	1237	8743
124	1247	8731
125	1257	8723
126	1268	8717
127	1276	8698
128	1284	8674
129	1292	8652
130	1301	8630
131	1308	8606
132	1318	8594
133	1326	8574
134	1334	8553
135	1342	8531
136	1350	8508
137	1358	8484
138	1366	8464
139	1374	8441
140	1381	8418
141	1391	8406
142	1400	8392
143	1408	8375
144	1417	8359
145	1425	8336
146	1433	8317
147	1443	8309
148	1453	8300
149	1464	8296
150	1475	8293
151	1485	8289
152	1496	8282
153	1506	8273
154	1516	8269
155	1526	8260
156	1537	8254
157	1548	8252
158	1558	8245
159	1569	8239
160	1580	8233
161	1589	8224
162	1601	8222
163	1609	8202
164	1617	8185
165	1625	8168
166	1633	8147
167	1641	8129
168	1649	8108
169	1656	8087
170	1664	8069
171	1671	8048
172	1679	8030
173	1688	8013
174	1695	7993
175	1703	7973
176	1711	7958
177	1719	7941
178	1727	7923
179	1735	7905
180	1743	7888
181	1751	7870
182	1758	7849
183	1765	7831
184	1773	7814
185	1781	7796
186	1789	7781
187	1796	7760
188	1805	7745
189	1812	7728
190	1821	7713
191	1828	7696
192	1836	7679
193	1844	7662
194	1854	7656
195	1864	7649
196	1875	7644
197	1885	7637
198	1895	7627
199	1905	7621
200	1915	7613
201	1926	7611
202	1936	7603
203	1947	7597
204	1956	7587
205	1967	7583
206	1977	7576
207	1989	7575
208	1999	7568
209	2009	7559
210	2017	7544
211	2024	7526
212	2032	7511
213	2040	7494
214	2048	7479
215	2056	7464
216	2064	7450
217	2072	7434
218	2081	7421
